150330	25115	DENMARK HS	WESTFALL PKWY & WESTFIELD WAY	7:26:10 AM	Westfall Pkwy & Westfield Way, 30040
150738	25115	DENMARK HS	6270 LIVELY WAY	7:45:00 AM	6270 LIVELY WAY, 30040
151138	25115	DENMARK HS	6215 WESTFALL PKWY	7:27:00 AM	6215 WESTFALL PKWY
151296	25115	DENMARK HS	WESTFALLEN OVLK & WESTERLY WAY	7:20:00 AM	Westfallen Ovlk & Westerly Way, 30040
151297	25115	DENMARK HS	WESTFALLEN OVLK & WESTBAY TER	7:21:00 AM	Westfallen Ovlk & Westbay Ter, 30040
151399	25115	DENMARK HS	6085 HERITAGE MANOR DR	7:47:00 AM	6085 HERITAGE MANOR DR, 30040
164180	25115	DENMARK HS	6770 BROOKLEIGH OVLK	7:24:00 AM	6770 Brookleigh Ovlk, 30040
167376	25115	DENMARK HS	6065 WILLS ORCHARD CT	7:48:00 AM	6065 WILLS ORCHARD RD, 30040
167411	25115	DENMARK HS	5652 WILLS ORCHARD RD	7:50:00 AM	5652 WILLS ORCHARD RD, 30040
175612	25115	DENMARK HS	6210 LIVELY WAY	7:44:00 AM	6210 LIVELY WAY, 30040
176046	25115	DENMARK HS	5706 WILLS WOOD CIR	7:17:00 AM	5706 WILLS WOOD CIR, 30040
176255	25115	DENMARK HS	6080 VALLEY STREAM DR	7:37:00 AM	6080 VALLEY STREAM DR, 30040
176594	25115	DENMARK HS	5784 WILLS WOOD CIR	7:18:00 AM	5784 WILLS WOOD CIR, 30040
176641	25115	DENMARK HS	5860 ROGERS RD	7:42:00 AM	5860 ROGERS RD, 30040
176691	25115	DENMARK HS	3805 FRANCIS CIR	7:15:00 AM	3805 FRANCIS CIR, 30004
135839	25116	DENMARK HS	CANDLER WALK & CAMERON CT	7:37:00 AM	CANDLER WALK & CAMERON CT
150668	25116	DENMARK HS	3775 ATLANTA HWY	7:30:00 AM	3775 ATLANTA HWY, 30040
151238	25116	DENMARK HS	CROFTSHIRE PL & ALISTAR PARK DR	7:39:00 AM	Croftshire Pl & Alister Park Dr, 30040
151358	25116	DENMARK HS	ALISTAR PARK DR & IVANHOE WLK	7:38:00 AM	Alister Park Dr & Ivanhoe Walk, 30040
163373	25116	DENMARK HS	OXFORD PARK LN & SUTTON PARK LN	7:32:00 AM	OXFORD PARK LN & Sutton Park Ln, 30040
174238	25116	DENMARK HS	OXFORD PARK LN & DORCHESTER LN	7:33:00 AM	OXFORD PARK LN & DORCHESTER LN, 30040
175942	25116	DENMARK HS	4075 OXFORD PARK LN	7:34:00 AM	4075 Oxford Park Ln, 30040
134177	25117	DENMARK HS	GREYHAWK LN & KENTMERE DR	7:40:00 AM	GREYHAWK LN & KENTMERE DR
149149	25117	DENMARK HS	ATLANTA HWY & GLEN WALLACE DR	7:41:00 AM	ATLANTA HWY & GLEN WALLACE DR, 30040
150873	25117	DENMARK HS	WILDBROOKE PKWY & PELICAN PL	7:29:00 AM	WILDBROOKE PKWY & PELICAN PL
150930	25117	DENMARK HS	2953 GREYHAWK LN	7:39:00 AM	2953 GREYHAWK LN, 30040
150931	25117	DENMARK HS	3141 LAKE DR	7:45:00 AM	3141 LAKE RD, 30040
150992	25117	DENMARK HS	RONALD REAGAN BLVD & SUMMIT OVERLOOK WAY	7:31:00 AM	RONALD REAGAN BLVD & Summit Overlook Way, 30041
151339	25117	DENMARK HS	3255 ATLANTA HWY	7:34:00 AM	3255 ATLANTA HWY, 30040
151343	25117	DENMARK HS	WILDBROOKE PKWY & SANDPIPER LN	7:28:00 AM	WILDBROOKE PKWY & SANDPIPER LN
151344	25117	DENMARK HS	SOARING HAWK LN & SANDERLING ST	7:26:00 AM	SOARING HAWK LN & SANDERLING ST
151360	25117	DENMARK HS	SOARING HAWK LN & SKYLARK LN	7:25:00 AM	SOARING HAWK LN & SKYLARK LN
151452	25117	DENMARK HS	3300 SHORE DR	7:43:00 AM	3300 SHORE DR, 30040
164766	25117	DENMARK HS	3116 ATLANTA HWY	7:46:00 AM	3116 ATLANTA HWY, 30040
172561	25117	DENMARK HS	3151 LAKE RD	7:44:00 AM	3151 LAKE RD, 30040
134175	25118	DENMARK HS	WHIRLAWAY DR & JONABELL LN	7:07:00 AM	WHIRLAWAY DR & JONABELL LN
